,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
コロンビア,2.925,1.678,2.504,3.918,5.333,4.447,6.717,6.738,3.283,1.14,4.495,6.948,3.913,5.134,4.499,2.956,2.088,1.359,2.564,3.187,-7.252,11.016,7.496,0.961,1.924,2.93,3.345,3.345,3.345
クロアチア,3.749,3.11,5.824,5.596,4.18,4.309,4.919,4.959,2.004,-7.195,-1.221,-0.091,-2.328,-0.398,-0.431,2.524,3.56,3.414,2.799,3.42,-8.58,13.07,6.332,1.7,2.3,2.7,2.9,2.8,2.8
デンマーク,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,3.248,2.819,1.991,1.493,-1.994,4.857,3.623,0,1,1.4,1.5,1.5,1.5
エクアドル,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.289,0.012,-7.788,4.235,3.039,2.878,2.796,2.779,2.752,2.752,2.751
エジプト,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,3.276,4.434,4.506,2.369,5.331,5.534,3.514,3.307,6.609,3.734,5.032,5.513,5.793,5.869,5.984
エストニア,10.088,6.004,6.771,7.6,6.804,9.526,9.766,7.579,-5.132,-14.629,2.444,7.263,3.228,1.458,3.011,1.853,3.155,5.792,3.784,3.74,-0.551,8.013,-1.287,-1.2,3.2,3.6,3.3,3.3,3.2
エチオピア,9.838,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.7,9.9,10.3,10.4,8,10.21,7.703,9.037,6.057,6.265,6.358,6.109,6.377,6.543,6.683,6.78,6.953
フィンランド,5.773,2.609,1.707,2.004,3.992,2.78,4.027,5.299,0.784,-8.074,3.186,2.547,-1.397,-0.902,-0.365,0.544,2.811,3.192,1.14,1.224,-2.355,3.046,2.084,0.046,1.285,1.292,1.338,1.262,1.246
フランス,4.116,1.935,1.175,0.844,2.55,1.735,2.639,2.382,0.156,-2.787,1.822,2.212,0.362,0.685,0.965,1.055,0.982,2.449,1.824,1.884,-7.907,6.77,2.606,0.701,1.254,1.902,1.761,1.559,1.45
グルジア,1.838,4.805,5.474,11.058,5.794,9.59,9.42,12.579,2.419,-3.651,6.191,7.361,6.417,3.616,4.442,3.027,2.906,4.843,4.843,4.982,-6.76,10.466,10.109,3.981,4.971,5.197,5.201,5.2,5.198
ドイツ,2.904,1.687,-0.201,-0.703,1.184,0.726,3.814,2.982,0.959,-5.696,4.185,3.914,0.427,0.432,2.217,1.487,2.23,2.68,0.984,1.054,-3.692,2.625,1.778,-0.109,1.098,2.044,1.848,1.238,1.134
ガーナ,3.596,3.828,4.617,5.112,5.404,6.23,5.816,4.076,9.008,5.683,7.768,13.949,8.428,7.242,2.856,2.121,3.373,8.129,6.2,6.508,0.514,5.356,3.219,1.623,2.944,4.849,4.953,5,5
ギリシャ,3.92,4.132,3.923,5.795,5.061,0.599,5.652,3.274,-0.335,-4.301,-5.478,-10.149,-7.087,-2.516,0.476,-0.196,-0.487,1.092,1.668,1.884,-9.004,8.434,5.914,2.6,1.502,1.404,1.4,1.26,1.2
グアテマラ,2.5,2.399,4.245,2.617,2.969,3.065,5.575,6.049,3.662,0.632,2.806,4.445,3.147,3.485,4.444,4.092,2.678,3.08,3.407,4.002,-1.764,7.981,4.009,3.4,3.5,3.6,3.7,3.8,3.9
香港,7.663,0.561,1.657,3.056,8.7,7.388,7.033,6.465,2.128,-2.459,6.768,4.815,1.7,3.102,2.762,2.388,2.175,3.796,2.847,-1.672,-6.545,6.448,-3.507,3.465,3.133,2.926,2.768,2.678,2.652
ハンガリー,4.479,4.074,4.741,4.074,5.005,4.294,3.946,0.277,1.004,-6.598,1.076,1.867,-1.25,1.803,4.232,3.707,2.201,4.272,5.362,4.858,-4.547,7.117,4.9,0.549,3.2,3.3,3.4,3.45,3.451
インド,3.975,4.944,3.907,7.944,7.849,9.285,9.264,9.801,3.891,8.48,10.26,6.638,5.456,6.386,7.41,7.996,8.256,6.795,6.454,3.871,-5.831,9.05,6.831,5.89,6.331,6.206,6.068,6.002,6.042
インドネシア,4.979,3.643,4.499,4.78,5.031,5.693,5.501,6.345,7.442,4.702,6.378,6.17,6.03,5.557,5.007,4.876,5.033,5.07,5.174,5.019,-2.066,3.703,5.309,4.952,5.06,4.971,4.96,4.961,4.969
イラク,-4.341,-6.569,-7.797,81.787,53.386,1.675,5.638,1.889,8.228,3.379,6.403,7.546,13.936,7.628,0.738,2.537,15.199,-3.399,4.703,5.811,-15.701,7.677,8.137,3.671,3.127,2.641,2.434,2.184,2.188
アイルランド,9.403,5.307,5.899,3.014,6.788,5.74,4.988,5.31,-4.484,-5.096,1.683,0.834,-0.006,1.126,8.649,24.371,2.007,9.005,8.528,5.441,6.184,13.588,11.97,5.576,4.028,3.554,3.032,3.038,3.03
イスラエル,8.672,0.335,-0.116,1.394,4.785,4.134,5.583,6.033,3.252,0.883,5.668,5.561,2.588,4.416,3.919,2.486,4.522,4.276,4.07,4.156,-1.857,8.612,6.432,2.871,3.102,3.365,3.422,3.552,3.551
イタリア,3.787,1.951,0.254,0.139,1.424,0.818,1.791,1.487,-0.962,-5.281,1.713,0.707,-2.981,-1.841,-0.005,0.778,1.293,1.668,0.926,0.483,-8.979,6.987,3.675,0.652,0.78,1.229,1.097,1.045,0.882
ジャマイカ,0.776,1.281,0.675,3.667,1.324,0.894,2.899,1.444,-0.818,-3.411,-1.435,1.426,-0.501,0.224,0.575,0.869,1.498,0.679,1.827,0.97,-9.92,4.601,4,2.2,2,1.7,1.6,1.6,1.6
日本,2.765,0.386,0.042,1.535,2.186,1.804,1.372,1.484,-1.224,-5.693,4.098,0.024,1.375,2.005,0.296,1.561,0.754,1.675,0.643,-0.402,-4.279,2.145,1.075,1.302,1.019,0.592,0.492,0.386,0.409
カザフスタン,9.8,13.499,9.799,9.3,9.599,9.702,10.7,8.9,3.3,1.2,7.299,7.501,5.001,5.899,4.3,1,0.9,3.901,4.1,4.5,-2.6,4.1,3.214,4.267,4.875,3.44,1.724,2.713,2.778
ケニア,0.347,3.979,0.481,2.949,4.635,5.665,5.854,6.851,0.232,3.307,8.058,5.121,4.569,3.798,5.02,4.968,4.214,3.816,5.671,5.114,-0.25,7.517,5.369,5.281,5.436,5.489,5.479,5.504,5.458
韓国,9.061,4.852,7.725,3.147,5.197,4.309,5.264,5.8,3.013,0.793,6.805,3.686,2.403,3.165,3.202,2.809,2.947,3.16,2.907,2.244,-0.709,4.145,2.561,1.505,2.439,2.34,2.281,2.227,2.168
クウェート,4.691,0.209,3.014,17.337,10.762,10.076,7.52,5.992,2.48,-7.076,-2.371,9.628,6.625,1.151,0.499,0.593,2.926,-4.714,2.437,-0.552,-8.855,1.308,8.177,0.905,2.663,2.647,2.663,2.668,2.673
マレーシア,8.671,0.518,5.391,5.789,6.783,4.976,5.584,6.299,4.832,-1.514,7.528,5.293,5.474,4.694,6.007,5.007,4.45,5.813,4.843,4.413,-5.534,3.092,8.694,4.481,4.529,4.362,4.397,3.903,3.929
モルディブ,4.77,3.452,6.098,25.394,6.031,-13.129,26.112,7.714,9.485,-7.229,7.267,8.567,2.517,7.281,7.33,2.885,6.338,7.21,8.123,6.884,-33.361,41.747,12.326,7.225,5.734,6.471,5.872,5.458,5.112
メキシコ,4.942,-0.404,-0.04,1.446,3.921,2.308,4.495,2.291,1.144,-5.286,5.118,3.663,3.642,1.354,2.85,3.293,2.631,2.113,2.195,-0.199,-7.988,4.721,3.066,1.817,1.566,1.902,1.83,1.819,1.837
モロッコ,1.913,7.32,3.121,5.961,4.797,3.292,7.575,3.532,5.923,4.244,3.816,5.246,3.01,4.535,2.675,4.345,0.521,5.058,3.066,2.891,-7.187,7.93,1.135,2.968,3.105,3.13,3.242,3.381,3.381
ミャンマー,12.418,12.468,9.928,13.196,15.318,13.567,13.307,12.5,7.558,4.385,5.247,5.471,6.486,7.899,8.2,7.473,6.408,5.75,6.405,6.75,3.189,-17.938,1.971,2.583,2.639,2.528,2.584,2.899,3.397
ナミビア,3.497,2.393,6.68,3.477,6.632,4.67,3.948,3.646,2.65,0.296,6.039,5.091,5.062,5.615,6.093,4.264,0.034,-1.027,1.06,-0.839,-8.036,2.656,3.842,2.78,2.6,2.577,2.603,2.566,2.56
ネパール,6.116,5.629,0.12,3.945,4.683,3.479,3.365,3.412,6.105,4.533,4.816,3.422,4.67,3.525,6.011,3.976,0.433,8.977,7.622,6.657,-2.37,4.247,5.838,4.396,5.106,5.175,5.198,5.222,5.245
オランダ,4.199,2.328,0.217,0.158,1.983,2.047,3.462,3.772,2.172,-3.667,1.341,1.55,-1.031,-0.127,1.424,1.958,2.192,2.911,2.361,1.956,-3.913,4.883,4.518,1.034,1.228,1.538,1.555,1.512,1.578
ニュージーランド,4.216,2.512,4.721,4.412,4.849,3.22,2.808,3.503,-0.344,-1.134,1.768,1.799,2.491,2.327,3.751,3.691,3.884,3.46,3.524,3.075,-1.477,6.088,2.435,1.074,0.85,2.444,2.415,2.506,2.456
ナイジェリア,5.518,6.667,14.604,9.503,10.442,7.008,6.726,7.318,7.199,8.353,11.259,4.887,4.279,5.394,6.31,2.653,-1.617,0.806,1.923,2.208,-1.794,3.647,3.252,3.232,3.009,2.967,2.99,2.975,2.987
ノルウェー,3.319,2.067,1.378,0.945,4.015,2.685,2.461,2.914,0.482,-1.94,0.787,1.106,2.718,1.016,2.048,1.857,1.165,2.464,0.829,1.124,-1.278,3.898,3.281,2.145,2.54,1.831,1.476,1.348,1.376
オマーン,6.193,4.613,-0.784,-2.195,1.992,2.78,4.67,4.98,8.95,5.982,2.472,2.894,8.863,5.227,1.292,5.017,5.046,0.304,1.287,-1.13,-3.2,2.902,4.311,1.66,5.186,2.282,2.489,2.587,2.595
パキスタン,3.908,1.967,3.112,4.726,7.483,8.958,5.818,5.537,4.988,0.361,2.581,3.624,3.837,3.683,4.053,4.058,4.563,4.609,6.096,3.12,-0.943,5.742,5.967,0.463,3.526,4.4,4.8,5,5
ペルー,2.695,0.617,5.454,4.165,4.959,6.285,7.529,8.518,9.127,1.096,8.332,6.327,6.14,5.853,2.382,3.252,3.953,2.519,3.977,2.233,-11.014,13.551,2.701,2.399,2.998,3,3,3,3
フィリピン,4.383,3.049,3.716,5.087,6.569,4.942,5.316,6.519,4.344,1.448,7.335,3.858,6.897,6.751,6.348,6.348,7.149,6.931,6.341,6.119,-9.518,5.703,7.599,6.033,5.807,6.098,6.216,6.333,6.412
ポーランド,4.26,1.205,1.443,3.498,4.983,3.507,6.131,7.062,4.2,2.832,2.935,5.042,1.545,0.857,3.837,4.383,2.954,5.14,5.945,4.45,-2.02,6.848,4.874,0.323,2.444,3.659,3.43,3.144,3.094
ポルトガル,3.816,1.944,0.771,-0.931,1.789,0.782,1.625,2.507,0.319,-3.122,1.738,-1.696,-4.057,-0.923,0.792,1.792,2.019,3.506,2.849,2.683,-8.301,5.503,6.726,1.004,1.666,2.15,1.9,1.9,1.9
カタール,6.946,4.5,6.873,3.987,19.225,7.792,28.082,18.191,17.494,13.063,17.746,11.302,4.73,5.556,5.334,4.753,3.064,-1.498,1.235,0.688,-3.558,1.589,4.241,2.424,1.842,3.336,2.889,3.714,3.578
ルーマニア,2.921,5.082,5.679,2.314,10.33,4.686,8.024,7.198,9.407,-5.552,-3.913,4.534,1.911,0.249,4.13,3.163,2.853,8.213,6.03,3.844,-3.692,5.874,4.791,2.4,3.65,3.75,3.7,3.58,3.55
ロシア,10.046,5.09,4.744,7.349,7.176,6.376,8.154,8.535,5.248,-7.821,4.503,5.066,4.024,1.755,0.736,-1.973,0.194,1.826,2.807,2.198,-2.654,5.624,-2.051,0.711,1.281,1,0.8,0.8,0.74
サウジアラビア,5.625,-1.211,-2.819,11.242,7.958,5.574,2.788,1.847,6.25,-2.059,5.039,10.994,5.427,2.85,4.028,4.69,2.363,-0.07,2.762,0.832,-4.341,3.922,8.744,3.059,3.149,2.957,2.996,3.01,3.022
シンガポール,9.038,-1.071,3.923,4.548,9.94,7.366,9.007,9.022,1.863,0.128,14.52,6.215,4.435,4.818,3.936,2.977,3.602,4.545,3.575,1.331,-3.901,8.882,3.647,1.495,2.115,2.486,2.523,2.486,2.484
南アフリカ,4.2,2.7,3.7,2.949,4.555,5.277,5.604,5.36,3.191,-1.538,3.04,3.169,2.396,2.485,1.414,1.322,0.665,1.158,1.522,0.303,-6.342,4.913,2.042,0.104,1.824,1.6,1.4,1.4,1.4
スペイン,5.053,3.932,2.729,2.982,3.125,3.653,4.098,3.607,0.889,-3.766,0.165,-0.814,-2.962,-1.401,1.398,3.837,3.038,2.977,2.283,1.983,-11.325,5.522,5.475,1.51,1.969,2.037,1.711,1.658,1.58
スリランカ,8.418,-1.948,3.727,5.94,5.445,6.242,7.668,6.797,5.95,3.539,8.016,8.669,8.632,4.052,6.378,4.206,5.054,6.461,2.31,-0.22,-3.472,3.327,-8.659,-3.05,1.484,2.605,3,3.09,3.102
スーダン,8.385,10.867,5.941,6.289,5.136,5.648,6.531,5.735,3.847,-2.768,3.858,-3.214,-17.005,1.955,4.661,4.906,4.7,0.768,-2.29,-2.5,-3.63,0.5,-2.5,1.2,2.7,3,3,3,3
スウェーデン,4.766,1.449,2.197,2.31,4.337,2.859,4.663,3.439,-0.451,-4.34,5.952,3.195,-0.588,1.188,2.658,4.489,2.071,2.568,1.95,1.986,-2.17,5.386,2.642,-0.481,1.012,2.642,2.3,2.317,2.329
スイス,4.073,1.637,-0.064,-0.079,2.557,2.823,4.152,3.931,2.699,-2.304,3.215,1.884,1.208,1.837,2.315,1.59,2.073,1.427,2.867,1.161,-2.507,4.221,2.134,0.826,1.8,1.2,1.8,1.2,1.8
台湾,6.314,-1.402,5.481,4.225,6.952,5.383,5.771,6.851,0.799,-1.613,10.245,3.674,2.222,2.484,4.719,1.466,2.165,3.311,2.787,3.064,3.387,6.528,2.452,2.1,2.6,2.2,2.6,2.4,2.4
タイ,4.455,3.444,6.149,7.189,6.289,4.188,4.968,5.435,1.726,-0.691,7.513,0.84,7.243,2.687,0.984,3.134,3.435,4.178,4.223,2.115,-6.161,1.563,2.644,3.405,3.597,3.262,3.074,3.039,3.053
トルコ,6.933,-5.75,6.448,5.763,9.796,8.992,6.948,5.044,0.815,-4.823,8.427,11.2,4.788,8.486,4.94,6.084,3.323,7.502,2.98,0.784,1.94,11.353,5.566,2.67,3.6,3,3,3,3
アラブ首長国連邦,12.329,1.284,2.478,8.813,9.577,4.867,9.831,3.231,3.215,-5.229,1.595,6.929,4.777,5.056,4.166,6.787,5.561,0.735,1.314,1.108,-4.957,3.916,7.411,3.519,3.88,4.027,4.196,4.269,4.344
英国,4.093,2.157,1.771,3.123,2.345,2.668,2.16,2.563,-0.154,-4.51,2.43,1.068,1.448,1.82,3.2,2.393,2.165,2.444,1.705,1.604,-11.031,7.597,4.045,-0.251,0.953,2.173,2.009,1.765,1.528
米国,4.077,0.954,1.696,2.796,3.852,3.483,2.783,2.011,0.122,-2.6,2.709,1.55,2.281,1.842,2.288,2.707,1.668,2.242,2.945,2.295,-2.768,5.947,2.068,1.577,1.063,1.761,2.052,2.12,2.122
ウルグアイ,-1.93,-3.844,-7.732,0.805,5.004,7.46,4.099,6.542,7.176,4.243,7.803,5.162,3.538,4.638,3.239,0.371,1.69,1.628,0.478,0.35,-6.115,4.402,4.886,2.007,2.892,2.6,2.4,2.2,2.2
ウズベキスタン,3.8,4.2,4,4.2,7.4,7,7.5,9.5,9,8.1,7.094,7.525,7.102,7.297,6.874,7.219,5.932,4.395,5.88,5.982,1.996,7.403,5.669,5.257,5.497,5.482,5.457,5.473,5.522
ベトナム,6.787,6.895,7.08,7.341,7.789,7.547,6.978,7.129,5.662,5.398,6.423,6.413,5.505,5.554,6.422,6.987,6.69,6.94,7.465,7.359,2.867,2.562,8.018,5.763,6.852,6.758,6.652,6.689,6.657
ジンバブエ,-4.231,-0.454,-7.704,-16.224,-6.27,-7.413,-3.556,-3.401,-16.323,7.396,19.683,14.197,16.658,1.975,2.394,1.794,0.478,4.983,4.732,-6.122,-7.825,8.462,3.029,2.499,2.62,2.717,2.801,2.901,2.949
