,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
スーダン,15.20,15.00,15.90,15.80,16.18,17.01,17.49,16.77,16.04,14.89,13.73,12.03,14.80,15.20,19.80,21.60,20.60,19.60,19.50,22.10,26.83,28.33,32.14,33.06,33.00,32.74,32.47,32.21,31.95
スウェーデン,6.34,6.03,6.15,6.75,7.58,7.85,7.24,6.32,6.35,8.48,8.78,7.95,8.15,8.21,8.10,7.59,7.15,6.86,6.52,6.98,8.54,8.80,7.47,7.80,7.97,7.90,7.90,7.90,7.90
スイス,1.82,1.70,2.55,3.69,3.88,3.76,3.33,2.77,2.58,3.70,3.52,2.84,2.91,3.16,3.04,3.18,3.32,3.09,2.55,2.31,3.17,2.99,2.17,2.33,2.35,2.40,2.40,2.40,2.40
台湾,2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,3.96,3.78,3.92,3.76,3.71,3.73,3.85,3.95,3.66,3.66,3.66,3.66,3.66,3.66,3.66
タイ,0.00,3.30,2.40,2.20,2.10,1.90,1.50,1.40,1.40,1.50,1.00,0.70,0.70,0.70,0.80,0.90,1.00,1.20,1.10,1.00,2.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00
トルコ,6.00,7.80,9.76,9.93,9.69,9.21,8.73,8.90,9.85,12.95,11.04,8.98,8.32,8.88,9.90,10.32,10.92,10.92,10.91,13.73,13.15,11.96,10.47,11.03,10.54,10.53,10.52,10.52,10.52
英国,5.45,5.10,5.20,5.00,4.75,4.83,5.43,5.35,5.73,7.63,7.90,8.10,7.98,7.58,6.20,5.38,4.88,4.43,4.08,3.83,4.55,4.48,3.70,4.15,4.68,4.35,4.20,4.20,4.20
米国,3.97,4.74,5.78,5.99,5.54,5.08,4.61,4.62,5.80,9.28,9.61,8.93,8.08,7.36,6.16,5.28,4.88,4.36,3.89,3.68,8.09,5.37,3.64,3.83,4.92,4.80,4.30,4.10,4.06
ウルグアイ,13.40,15.19,16.75,17.15,13.34,12.14,10.78,9.40,7.93,7.78,7.03,6.34,6.33,6.51,6.63,7.53,7.87,7.93,8.37,8.93,10.35,9.38,7.87,8.26,8.01,8.14,8.01,8.01,8.01
ウズベキスタン,0.00,0.00,5.20,4.90,3.60,3.00,5.20,4.99,4.89,5.04,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83,9.35,8.98,10.53,9.63,8.85,8.35,7.85,7.35,6.85,6.35,5.85
ベトナム,6.42,6.28,6.01,5.78,5.60,5.31,4.82,4.64,2.38,2.90,2.88,2.22,1.96,2.18,2.10,2.33,2.30,2.24,2.19,2.17,2.48,3.20,2.32,2.42,2.36,2.31,2.26,2.15,2.15
ジンバブエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
